budget,v1_star,c_star,standard_runtime_seconds,robust_runtime_seconds
0.5,0.33866312,0.0,0.22782469100002345,1.509427583000047
1.0,0.62331162,0.066666667,0.31891608500006896,4.2501621229999955
1.5,0.66017875,0.1,0.4015410870000551,3.496414697999967
2.0,0.67646888,0.0,0.09674003599991465,0.913166323999917
2.4,0.67646887,0.4,0.0941071900000452,1.2363208909999912
3.0,0.67646888,1.0,0.11291667000000416,1.7444668439999305
