case_name,mode,tau,defender_value,true_goal_probability,decoy_probability
paper_style_attack_graph,standard,0.005,0.5526049804687498,0.35546875,0.6445312499999998
paper_style_attack_graph,robust,0.005,0.6753387163599928,0.21231816141129262,0.7876818385887073
paper_style_attack_graph,standard,0.01,0.5526049804687498,0.35546875,0.6445312499999998
paper_style_attack_graph,robust,0.01,0.6723774964837167,0.21577198252372995,0.7842280174762697
paper_style_attack_graph,standard,0.02,0.5526049804687498,0.35546875,0.6445312499999998
paper_style_attack_graph,robust,0.02,0.6590944601242548,0.23126466234231813,0.7687353376576818
paper_style_attack_graph,standard,0.05,0.5526049804687498,0.35546875,0.6445312499999998
paper_style_attack_graph,robust,0.05,0.6233841313311856,0.2729154321840668,0.7270845678159332
paper_style_attack_graph,standard,0.1,0.5526049804687498,0.35546875,0.6445312499999998
paper_style_attack_graph,robust,0.1,0.5930894975303469,0.30824960194740103,0.6917503980525989
paper_style_attack_graph,standard,0.2,0.5526049804687498,0.35546875,0.6445312499999998
paper_style_attack_graph,robust,0.2,0.5725285723398131,0.33223085308084177,0.6677691469191581
paper_style_attack_graph,standard,0.5,0.5526049804687498,0.35546875,0.6445312499999998
paper_style_attack_graph,robust,0.5,0.5601978452984949,0.3466128061834145,0.6533871938165854
branching_enterprise_graph,standard,0.005,0.5721220447347364,0.3659792986718225,0.6340207013281777
branching_enterprise_graph,robust,0.005,0.5721220447347364,0.3659792986718225,0.6340207013281777
branching_enterprise_graph,standard,0.01,0.5692835039956468,0.3652346852091163,0.6347653147908838
branching_enterprise_graph,robust,0.01,0.5692835039956468,0.3652346852091163,0.6347653147908838
branching_enterprise_graph,standard,0.02,0.5605074392748534,0.36325652974757594,0.6367434702524243
branching_enterprise_graph,robust,0.02,0.5605074392748534,0.36325652974757594,0.6367434702524243
branching_enterprise_graph,standard,0.05,0.5547154739642878,0.36216413982504375,0.6378358601749565
branching_enterprise_graph,robust,0.05,0.5547154739642878,0.36216413982504375,0.6378358601749565
branching_enterprise_graph,standard,0.1,0.553360939278047,0.36195626175902623,0.6380437382409738
branching_enterprise_graph,robust,0.1,0.553360939278047,0.36195626175902623,0.6380437382409738
branching_enterprise_graph,standard,0.2,0.5527978767905031,0.3618800475423871,0.6381199524576129
branching_enterprise_graph,robust,0.2,0.5527978767905031,0.3618800475423871,0.6381199524576129
branching_enterprise_graph,standard,0.5,0.5524936484707095,0.3618422126530987,0.6381577873469013
branching_enterprise_graph,robust,0.5,0.5524936484707095,0.3618422126530987,0.6381577873469013
lateral_movement_graph,standard,0.005,0.6621137255717875,0.26260242353995855,0.7373975764600414
lateral_movement_graph,robust,0.005,0.7081869755141307,0.21127461732689579,0.7887253826731042
lateral_movement_graph,standard,0.01,0.6225381772679176,0.3019154199732964,0.6980845800267036
lateral_movement_graph,robust,0.01,0.705058349475268,0.2127997254960847,0.7872002745039153
lateral_movement_graph,standard,0.02,0.5798483653291994,0.3424822906397699,0.65751770936023
lateral_movement_graph,robust,0.02,0.6951205232690363,0.2160471569820689,0.7839528430179312
lateral_movement_graph,standard,0.05,0.5467229954333711,0.3752164597906318,0.6247835402093683
lateral_movement_graph,robust,0.05,0.6679692903032486,0.23830220463703122,0.7616977953629687
lateral_movement_graph,standard,0.1,0.5398390734565349,0.38167218935473723,0.6183278106452627
lateral_movement_graph,robust,0.1,0.6243934999193602,0.28553372572153934,0.7144662742784607
lateral_movement_graph,standard,0.2,0.5447977483743499,0.3753441681326519,0.6246558318673479
lateral_movement_graph,robust,0.2,0.5894796993663645,0.32442719132174513,0.6755728086782546
lateral_movement_graph,standard,0.5,0.5560524167033705,0.36207718592030913,0.6379228140796909
lateral_movement_graph,robust,0.5,0.5733753307476824,0.3423186523551822,0.6576813476448179
