case_name,budget,v1_star,standard_runtime_seconds,robust_runtime_seconds,standard_pessimistic_value,robust_pessimistic_value,standard_optimistic_value,robust_optimistic_value,c_star,standard_tau05_value,robust_tau05_value,standard_tau05_true_goal_prob,robust_tau05_true_goal_prob,standard_tau05_decoy_prob,robust_tau05_decoy_prob,standard_x,robust_x
paper_style_attack_graph,2.4,0.67646887,0.10012704400003258,1.2313825060000454,0.32923197000000004,0.67646842,0.67646888,0.67646887,0.4,0.5526049804687498,0.6233841313311856,0.35546875,0.2729154321840668,0.6445312499999998,0.7270845678159332,"{'10|end': 1.0, '11|end': 1.0}","{'10|end': 1.0, '11|end': 1.4}"
branching_enterprise_graph,2.0,0.7129749999999999,0.07649709599991183,0.2700436779999791,0.34294988,0.34294988,0.712975,0.712975,0.0,0.5547154739642878,0.5547154739642878,0.36216413982504375,0.36216413982504375,0.6378358601749565,0.6378358601749565,"{'8|end': 1.0, '9|end': 1.0}","{'8|end': 1.0, '9|end': 1.0}"
lateral_movement_graph,1.8,0.7085076299999999,0.07120228500002668,0.1982349540000996,0.62908607,0.7085074,0.70850762,0.7085076299999999,0.4,0.5467229954333711,0.6679692903032486,0.3752164597906318,0.23830220463703122,0.6247835402093683,0.7616977953629687,"{'7|end': 0.0, '8|end': 1.0}","{'7|end': 0.4, '8|end': 1.4}"
